Venue Categories,Venue Type,Indoor or Outdoor
Japanese Restaurant,Restaurant,Indoor
Italian Restaurant,Restaurant,Indoor
Bar,Restaurant,Indoor
Pharmacy,Retail,Indoor
Train Station,Public transport,Outdoor
Food & Drink Shop,Retail,Indoor
Spanish Restaurant,Restaurant,Indoor
Ice Cream Shop,Retail,Indoor
Seafood Restaurant,Restaurant,Indoor
Sandwich Place,Restaurant,Indoor
American Restaurant,Restaurant,Indoor
Bagel Shop,Retail,Indoor
Spa,Entertainment,Indoor
Chinese Restaurant,Restaurant,Indoor
Donut Shop,Retail,Indoor
Burger Joint,Restaurant,Indoor
Salon / Barbershop,Retail,Indoor
Supermarket,Retail,Indoor
Sushi Restaurant,Restaurant,Indoor
Grocery Store,Retail,Indoor
Shipping Store,Retail,Indoor
Mexican Restaurant,Restaurant,Indoor
Bakery,Retail,Indoor
Lounge,Entertainment,Indoor
Smoke Shop,Retail,Indoor
Cafeteria,Restaurant,Indoor
Dessert Shop,Retail,Indoor
Liquor Store,Retail,Indoor
Casino,Entertainment,Indoor
Deli / Bodega,Retail,Indoor
Bus Stop,Public transport,Outdoor
Dance Studio,Retail,Indoor
Optical Shop,Retail,Indoor
Construction & Landscaping,Retail,Indoor
Playground,Entertainment,Outdoor
Bank,Retail,Indoor
Food,Retail,Indoor
Beach,Entertainment,Outdoor
Surf Spot,Entertainment,Outdoor
Trail,Entertainment,Outdoor
Art Museum,Entertainment,Indoor
Fried Chicken Joint,Restaurant,Indoor
Park,Entertainment,Indoor
Indian Restaurant,Restaurant,Indoor
Gym,Entertainment,Indoor
Caribbean Restaurant,Restaurant,Indoor
Nightclub,Entertainment,Indoor
Discount Store,Retail,Indoor
Mobile Phone Shop,Retail,Indoor
Diner,Restaurant,Indoor
Fast Food Restaurant,Restaurant,Indoor
Latin American Restaurant,Restaurant,Indoor
Hotel,Hotel,Indoor
Rest Area,Rest Area,Both
Recreation Center,Entertainment,Indoor
Dog Run,Entertainment,Outdoor
Southern / Soul Food Restaurant,Restaurant,Indoor
Restaurant,Restaurant,Indoor
Asian Restaurant,Restaurant,Indoor
Bus Station,Public transport,Outdoor
Nail Salon,Retail,Indoor
Video Game Store,Retail,Indoor
Candy Store,Retail,Indoor
South American Restaurant,Restaurant,Indoor
Hookah Bar,Entertainment,Indoor
Thai Restaurant,Restaurant,Indoor
Arts & Crafts Store,Retail,Indoor
Rental Car Location,Public transport,Indoor
Arepa Restaurant,Restaurant,Indoor
Gas Station,Retail,Outdoor
Department Store,Retail,Indoor
Bubble Tea Shop,Retail,Indoor
Clothing Store,Retail,Indoor
